task	problem	operator	written by	file
mbpp_282__sub_list	282	compare-flip	qwen2.5-coder-14b-v3-s8	pairs/mbpp_282__sub_list.0c89a091e78cbccf.json
mbpp_282__sub_list	282	boundary-swap	qwen3.8-27b-fp8-v3	pairs/mbpp_282__sub_list.14340e3e1fa16af5.json
mbpp_282__sub_list	282	compare-flip	qwen3.8-27b-fp8-v3	pairs/mbpp_282__sub_list.35f36bca02b854eb.json
mbpp_282__sub_list	282	boundary-swap	qwen2.5-coder-14b-v3-s8	pairs/mbpp_282__sub_list.93f84d493e8eb85b.json
mbpp_309__maximum	309	collapse-if	qwen3.8-27b-fp8	pairs/mbpp_309__maximum.2b56f09fe71b53a4.json
mbpp_309__maximum	309	collapse-if	qwen2.5-coder-14b-v3-s5	pairs/mbpp_309__maximum.8583f56f9d4dd224.json
mbpp_309__maximum	309	negate-cond	qwen2.5-coder-14b-v3-s5	pairs/mbpp_309__maximum.bf4ef91d45f99c17.json
mbpp_309__maximum	309	negate-cond	qwen3.8-27b-fp8	pairs/mbpp_309__maximum.d481d7ed453d83fd.json
mbpp_316__find_last_occurrence	316	negate-cond	qwen3.8-27b-fp8-v3	pairs/mbpp_316__find_last_occurrence.76b1f790cfbf4c53.json
mbpp_316__find_last_occurrence	316	collapse-if	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_316__find_last_occurrence.f2c7b1aec4722fb2.json
mbpp_316__find_last_occurrence	316	collapse-if	qwen3.8-27b-fp8-v3	pairs/mbpp_316__find_last_occurrence.fd76c620b20a0e59.json
mbpp_316__find_last_occurrence	316	negate-cond	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_316__find_last_occurrence.fe3df7472b2439f6.json
mbpp_354__tn_ap	354	off-by-one#1	qwen3.8-27b-fp8	pairs/mbpp_354__tn_ap.ea46a80563d4ddf8.json
mbpp_354__tn_ap	354	off-by-one	qwen3.8-27b-fp8	pairs/mbpp_354__tn_ap.fd5513feb8b347ec.json
mbpp_356__find_angle	356	off-by-one#1	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_356__find_angle.3a225e5c9d430695.json
mbpp_356__find_angle	356	off-by-one#1	deepseek-coder-v2-16b-v4-s2	pairs/mbpp_356__find_angle.4067b1bfcd3e16bf.json
mbpp_356__find_angle	356	off-by-one#1	qwen3.8-27b-fp8	pairs/mbpp_356__find_angle.59cf665bf8069dcd.json
mbpp_356__find_angle	356	off-by-one	qwen3.8-27b-fp8	pairs/mbpp_356__find_angle.64cf0d1fbeb998ba.json
mbpp_356__find_angle	356	off-by-one#1	qwen2.5-coder-14b-v3-s4	pairs/mbpp_356__find_angle.7c42888a24295af4.json
mbpp_356__find_angle	356	off-by-one	qwen2.5-coder-14b-v3-s1	pairs/mbpp_356__find_angle.898e5ee9033daf1d.json
mbpp_356__find_angle	356	off-by-one#1	qwen2.5-coder-14b-v3-s1	pairs/mbpp_356__find_angle.940fa3df07451be2.json
mbpp_356__find_angle	356	off-by-one	qwen2.5-coder-14b-v3-s4	pairs/mbpp_356__find_angle.a662af1a20bee58a.json
mbpp_356__find_angle	356	off-by-one	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_356__find_angle.aea0233841b86529.json
mbpp_356__find_angle	356	off-by-one	deepseek-coder-v2-16b-v4-s2	pairs/mbpp_356__find_angle.c1ffa828926eb87e.json
mbpp_35__find_rect_num	35	off-by-one#1	qwen3.8-27b-fp8	pairs/mbpp_35__find_rect_num.1a14600df594ac7d.json
mbpp_35__find_rect_num	35	off-by-one#1	qwen2.5-coder-14b-v3-s1	pairs/mbpp_35__find_rect_num.2badb6a75732e5a8.json
mbpp_35__find_rect_num	35	off-by-one#1	qwen3.8-27b-fp8-v3	pairs/mbpp_35__find_rect_num.7d4438c6f36fc2ff.json
mbpp_35__find_rect_num	35	off-by-one	qwen3.8-27b-fp8	pairs/mbpp_35__find_rect_num.b86faea781cbb15a.json
mbpp_35__find_rect_num	35	off-by-one	qwen3.8-27b-fp8-v3	pairs/mbpp_35__find_rect_num.d0feaa71a49d063c.json
mbpp_35__find_rect_num	35	off-by-one	qwen2.5-coder-14b-v3-s1	pairs/mbpp_35__find_rect_num.ed7623fea96c52f5.json
mbpp_369__lateralsurface_cuboid	369	off-by-one#1	deepseek-coder-v2-16b-v4-s2	pairs/mbpp_369__lateralsurface_cuboid.0d64410ef1fd6eb0.json
mbpp_369__lateralsurface_cuboid	369	off-by-one#1	qwen2.5-coder-14b-v3-s1	pairs/mbpp_369__lateralsurface_cuboid.139b6ce07fb716a7.json
mbpp_369__lateralsurface_cuboid	369	off-by-one	deepseek-coder-v2-16b-v4-s2	pairs/mbpp_369__lateralsurface_cuboid.1609b235c06b52f9.json
mbpp_369__lateralsurface_cuboid	369	off-by-one#1	qwen2.5-coder-14b-v3-s2	pairs/mbpp_369__lateralsurface_cuboid.2c7702728ba2129b.json
mbpp_369__lateralsurface_cuboid	369	off-by-one	qwen3.8-27b-fp8-v3	pairs/mbpp_369__lateralsurface_cuboid.38c57e2f5adcd8aa.json
mbpp_369__lateralsurface_cuboid	369	off-by-one	qwen3.8-27b-fp8	pairs/mbpp_369__lateralsurface_cuboid.770a8b953960e7de.json
mbpp_369__lateralsurface_cuboid	369	off-by-one	qwen2.5-coder-14b-v3-s7	pairs/mbpp_369__lateralsurface_cuboid.9c2586baeb5f3c44.json
mbpp_369__lateralsurface_cuboid	369	off-by-one	qwen2.5-coder-14b-v3-s2	pairs/mbpp_369__lateralsurface_cuboid.a5228053aab0e217.json
mbpp_369__lateralsurface_cuboid	369	off-by-one	qwen2.5-coder-14b-v3-s3	pairs/mbpp_369__lateralsurface_cuboid.d2a1a13382caa3b0.json
mbpp_369__lateralsurface_cuboid	369	off-by-one#1	qwen2.5-coder-14b-v3-s3	pairs/mbpp_369__lateralsurface_cuboid.db7ab2f1a13fa251.json
mbpp_369__lateralsurface_cuboid	369	off-by-one#1	qwen3.8-27b-fp8	pairs/mbpp_369__lateralsurface_cuboid.ea4a5c4ae7947d1a.json
mbpp_369__lateralsurface_cuboid	369	off-by-one#1	qwen3.8-27b-fp8-v3	pairs/mbpp_369__lateralsurface_cuboid.ec6c6a841e729fad.json
mbpp_369__lateralsurface_cuboid	369	off-by-one	qwen2.5-coder-14b-v3-s1	pairs/mbpp_369__lateralsurface_cuboid.ee0cfad10cd9d0ae.json
mbpp_369__lateralsurface_cuboid	369	off-by-one#1	qwen2.5-coder-14b-v3-s7	pairs/mbpp_369__lateralsurface_cuboid.f038285e84d13bb7.json
mbpp_373__volume_cuboid	373	wrong-var#1	qwen3.8-27b-fp8	pairs/mbpp_373__volume_cuboid.c3fec1e3b2cc98f1.json
mbpp_373__volume_cuboid	373	wrong-var	qwen3.8-27b-fp8	pairs/mbpp_373__volume_cuboid.d31930e03ecf1729.json
mbpp_373__volume_cuboid	373	wrong-var#1	qwen2.5-coder-14b-v3-s4	pairs/mbpp_373__volume_cuboid.d92912067a99ae8d.json
mbpp_373__volume_cuboid	373	wrong-var	qwen2.5-coder-14b-v3-s4	pairs/mbpp_373__volume_cuboid.f21e9a4d6af8b29a.json
mbpp_379__surfacearea_cuboid	379	off-by-one	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_379__surfacearea_cuboid.364876889f0bd610.json
mbpp_379__surfacearea_cuboid	379	off-by-one#1	qwen3.8-27b-fp8	pairs/mbpp_379__surfacearea_cuboid.572a1060ae11b933.json
mbpp_379__surfacearea_cuboid	379	off-by-one	qwen2.5-coder-14b-v3-s1	pairs/mbpp_379__surfacearea_cuboid.5e8747556d9474c3.json
mbpp_379__surfacearea_cuboid	379	off-by-one#1	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_379__surfacearea_cuboid.6d4161ee4ec06cbb.json
mbpp_379__surfacearea_cuboid	379	off-by-one#1	qwen2.5-coder-14b-v3-s1	pairs/mbpp_379__surfacearea_cuboid.ac8dc97280bd671d.json
mbpp_379__surfacearea_cuboid	379	off-by-one	qwen3.8-27b-fp8	pairs/mbpp_379__surfacearea_cuboid.e8049f2f7ba78784.json
mbpp_404__minimum	404	negate-cond	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_404__minimum.12eb992c40d1d7b5.json
mbpp_404__minimum	404	collapse-if	qwen3.8-27b-fp8	pairs/mbpp_404__minimum.1690ed3f1ab38361.json
mbpp_404__minimum	404	collapse-if	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_404__minimum.46dcbb46277a6909.json
mbpp_404__minimum	404	negate-cond	qwen3.8-27b-fp8	pairs/mbpp_404__minimum.5541d88508403c42.json
mbpp_404__minimum	404	collapse-if	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_404__minimum.6417390c0c537ee4.json
mbpp_404__minimum	404	negate-cond	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_404__minimum.78f2c65ef959f3ee.json
mbpp_441__surfacearea_cube	441	off-by-one	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_441__surfacearea_cube.0d99786dbec68803.json
mbpp_441__surfacearea_cube	441	off-by-one#1	qwen2.5-coder-14b-v3-s3	pairs/mbpp_441__surfacearea_cube.2592afe0eb6e548e.json
mbpp_441__surfacearea_cube	441	off-by-one#1	qwen3.8-27b-fp8-v3	pairs/mbpp_441__surfacearea_cube.2d10fdbe3a7dd3f9.json
mbpp_441__surfacearea_cube	441	off-by-one	qwen2.5-coder-14b-v3-s4	pairs/mbpp_441__surfacearea_cube.3185becab15d7a88.json
mbpp_441__surfacearea_cube	441	off-by-one#1	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_441__surfacearea_cube.388891fabd0df09b.json
mbpp_441__surfacearea_cube	441	off-by-one#1	qwen2.5-coder-14b-v3-s4	pairs/mbpp_441__surfacearea_cube.3a1537d8464e8818.json
mbpp_441__surfacearea_cube	441	off-by-one#1	qwen2.5-coder-14b-v3-s1	pairs/mbpp_441__surfacearea_cube.3b6c3fa2c1f164b6.json
mbpp_441__surfacearea_cube	441	off-by-one	qwen2.5-coder-14b-v3-s1	pairs/mbpp_441__surfacearea_cube.6fbd962a33e1562b.json
mbpp_441__surfacearea_cube	441	off-by-one#1	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_441__surfacearea_cube.82a94ffdd888bf41.json
mbpp_441__surfacearea_cube	441	off-by-one#1	qwen3.8-27b-fp8	pairs/mbpp_441__surfacearea_cube.8f112af144e1cc75.json
mbpp_441__surfacearea_cube	441	off-by-one	qwen3.8-27b-fp8-v3	pairs/mbpp_441__surfacearea_cube.ad1d7d926a326183.json
mbpp_441__surfacearea_cube	441	off-by-one	qwen2.5-coder-14b-v3-s3	pairs/mbpp_441__surfacearea_cube.ad7e5a0c4372a117.json
mbpp_441__surfacearea_cube	441	off-by-one	qwen3.8-27b-fp8	pairs/mbpp_441__surfacearea_cube.cc501e96bdd2c342.json
mbpp_441__surfacearea_cube	441	off-by-one	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_441__surfacearea_cube.d7b06719b991cc4f.json
mbpp_451__remove_whitespaces	451	compare-flip	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_451__remove_whitespaces.4011bcb7413a14af.json
mbpp_451__remove_whitespaces	451	collapse-if	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_451__remove_whitespaces.698faa388cfb4c40.json
mbpp_458__rectangle_area	458	wrong-var	qwen3.8-27b-fp8	pairs/mbpp_458__rectangle_area.046b2c4d9832ff33.json
mbpp_458__rectangle_area	458	wrong-var	qwen3.8-27b-fp8-v3	pairs/mbpp_458__rectangle_area.2475f7d85f267cf7.json
mbpp_458__rectangle_area	458	wrong-var#1	qwen3.8-27b-fp8-v3	pairs/mbpp_458__rectangle_area.2841a9d34d184dc0.json
mbpp_458__rectangle_area	458	wrong-var#1	qwen2.5-coder-14b-v3-s1	pairs/mbpp_458__rectangle_area.2889a11c9ecb386a.json
mbpp_458__rectangle_area	458	wrong-var#1	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_458__rectangle_area.488e41bd919a1eb8.json
mbpp_458__rectangle_area	458	wrong-var#1	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_458__rectangle_area.4d9f195307c04b10.json
mbpp_458__rectangle_area	458	wrong-var#1	qwen3.8-27b-fp8	pairs/mbpp_458__rectangle_area.72186c227bbf0ada.json
mbpp_458__rectangle_area	458	wrong-var	qwen2.5-coder-14b-v3-s1	pairs/mbpp_458__rectangle_area.7838c97f13f9518c.json
mbpp_458__rectangle_area	458	wrong-var	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_458__rectangle_area.d6d213a001f390f0.json
mbpp_458__rectangle_area	458	wrong-var	qwen2.5-coder-14b-v3-s2	pairs/mbpp_458__rectangle_area.f768b52c3fdae01a.json
mbpp_458__rectangle_area	458	wrong-var#1	qwen2.5-coder-14b-v3-s2	pairs/mbpp_458__rectangle_area.fb250762ffddf621.json
mbpp_458__rectangle_area	458	wrong-var	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_458__rectangle_area.fc6711bc614e2a45.json
mbpp_495__remove_lowercase	495	compare-flip	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_495__remove_lowercase.5606e26a3f22d36c.json
mbpp_495__remove_lowercase	495	collapse-if	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_495__remove_lowercase.ed38951c6d91c7cb.json
mbpp_498__gcd	498	collapse-if#1	qwen3.8-27b-fp8	pairs/mbpp_498__gcd.509d1889f945bff0.json
mbpp_498__gcd	498	collapse-if	qwen3.8-27b-fp8	pairs/mbpp_498__gcd.835fb75b5a8f9943.json
mbpp_499__diameter_circle	499	off-by-one	qwen2.5-coder-14b-v3-s2	pairs/mbpp_499__diameter_circle.1d40594460f0069c.json
mbpp_499__diameter_circle	499	off-by-one#1	qwen2.5-coder-14b-v3-s2	pairs/mbpp_499__diameter_circle.29962e9b43f44d97.json
mbpp_499__diameter_circle	499	off-by-one	qwen3.8-27b-fp8	pairs/mbpp_499__diameter_circle.e1803095f6b63b59.json
mbpp_499__diameter_circle	499	off-by-one#1	qwen3.8-27b-fp8	pairs/mbpp_499__diameter_circle.f12343e4546b241d.json
mbpp_504__sum_Of_Series	504	compare-flip	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_504__sum_Of_Series.19fcbbd4402af245.json
mbpp_504__sum_Of_Series	504	boundary-swap	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_504__sum_Of_Series.3ed52dc43c89138e.json
mbpp_509__average_Odd	509	off-by-one#2	qwen3.8-27b-fp8-v3	pairs/mbpp_509__average_Odd.96d69d26cc760da0.json
mbpp_509__average_Odd	509	off-by-one#1	qwen3.8-27b-fp8-v3	pairs/mbpp_509__average_Odd.d87250c0408e1d40.json
mbpp_52__parallelogram_area	52	wrong-var#1	qwen2.5-coder-14b-v3-s4	pairs/mbpp_52__parallelogram_area.11a9665577a1de9e.json
mbpp_52__parallelogram_area	52	wrong-var#1	qwen2.5-coder-14b-v3-s1	pairs/mbpp_52__parallelogram_area.1bb5182c084f7e60.json
mbpp_52__parallelogram_area	52	wrong-var	qwen2.5-coder-14b-v3-s4	pairs/mbpp_52__parallelogram_area.792a4e9d7191e7bb.json
mbpp_52__parallelogram_area	52	wrong-var#1	qwen3.8-27b-fp8	pairs/mbpp_52__parallelogram_area.9754cf8a7f0aeded.json
mbpp_52__parallelogram_area	52	wrong-var	qwen3.8-27b-fp8	pairs/mbpp_52__parallelogram_area.992726521cb0d120.json
mbpp_52__parallelogram_area	52	wrong-var	qwen2.5-coder-14b-v3-s1	pairs/mbpp_52__parallelogram_area.dbe0d68f39dca418.json
mbpp_542__fill_spaces	542	collapse-if	qwen3.8-27b-fp8-v3	pairs/mbpp_542__fill_spaces.950e8a485a2b037f.json
mbpp_542__fill_spaces	542	negate-cond	qwen3.8-27b-fp8-v3	pairs/mbpp_542__fill_spaces.bda74c58b4d8c17a.json
mbpp_577__last_Digit_Factorial	577	collapse-if#1	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_577__last_Digit_Factorial.27dd0a70c0375521.json
mbpp_577__last_Digit_Factorial	577	collapse-if	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_577__last_Digit_Factorial.4ad8f9c4d82d192e.json
mbpp_581__surface_Area	581	off-by-one	qwen2.5-coder-14b-v3-s6	pairs/mbpp_581__surface_Area.09f4edbc4c61aea5.json
mbpp_581__surface_Area	581	off-by-one#1	qwen3.8-27b-fp8	pairs/mbpp_581__surface_Area.14c6670f8f92fdb9.json
mbpp_581__surface_Area	581	off-by-one#1	qwen2.5-coder-14b-v3-s6	pairs/mbpp_581__surface_Area.35986b1b5a325b4e.json
mbpp_581__surface_Area	581	off-by-one	qwen3.8-27b-fp8	pairs/mbpp_581__surface_Area.50b4da3c713110c9.json
mbpp_581__surface_Area	581	off-by-one	qwen2.5-coder-14b-v3-s1	pairs/mbpp_581__surface_Area.813adfa8a715f70b.json
mbpp_581__surface_Area	581	off-by-one#1	qwen2.5-coder-14b-v3-s1	pairs/mbpp_581__surface_Area.8a86795c5aad3b78.json
mbpp_581__surface_Area	581	off-by-one#1	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_581__surface_Area.baf038148a9ac6a5.json
mbpp_581__surface_Area	581	off-by-one	qwen2.5-coder-14b-v3-s2	pairs/mbpp_581__surface_Area.c1535b838330e4ef.json
mbpp_581__surface_Area	581	off-by-one#1	qwen2.5-coder-14b-v3-s3	pairs/mbpp_581__surface_Area.cbfc7dc902bbe4bb.json
mbpp_581__surface_Area	581	off-by-one#1	qwen2.5-coder-14b-v3-s2	pairs/mbpp_581__surface_Area.cd555274520c4202.json
mbpp_581__surface_Area	581	off-by-one	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_581__surface_Area.fb5bf3ef449d1589.json
mbpp_581__surface_Area	581	off-by-one	qwen2.5-coder-14b-v3-s3	pairs/mbpp_581__surface_Area.fb87e916e5639888.json
mbpp_591__swap_List	591	off-by-one	qwen3.8-27b-fp8-v3	pairs/mbpp_591__swap_List.479b5b3768c4f9a2.json
mbpp_591__swap_List	591	off-by-one#1	qwen3.8-27b-fp8-v3	pairs/mbpp_591__swap_List.dc82f1d1460c6436.json
mbpp_59__is_octagonal	59	off-by-one	qwen2.5-coder-14b-v3-s1	pairs/mbpp_59__is_octagonal.2f0cc3b0b32c2f8d.json
mbpp_59__is_octagonal	59	off-by-one#1	qwen3.8-27b-fp8	pairs/mbpp_59__is_octagonal.3aaa2a56479e2f29.json
mbpp_59__is_octagonal	59	off-by-one	qwen3.8-27b-fp8	pairs/mbpp_59__is_octagonal.7334d3f06f9bede1.json
mbpp_59__is_octagonal	59	off-by-one#1	qwen2.5-coder-14b-v3-s1	pairs/mbpp_59__is_octagonal.ce655873a2163925.json
mbpp_625__swap_List	625	off-by-one#1	qwen3.8-27b-fp8-v3	pairs/mbpp_625__swap_List.1be654a541b7e643.json
mbpp_625__swap_List	625	off-by-one	qwen3.8-27b-fp8-v3	pairs/mbpp_625__swap_List.d0832f09aa634bf5.json
mbpp_631__replace_spaces	631	collapse-if	qwen3.8-27b-fp8-v3	pairs/mbpp_631__replace_spaces.2f5d8440a89b3150.json
mbpp_631__replace_spaces	631	collapse-if#1	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_631__replace_spaces.37ac740c6e533653.json
mbpp_631__replace_spaces	631	negate-cond	qwen2.5-coder-14b-v3-s5	pairs/mbpp_631__replace_spaces.b19f24b0b05fdb28.json
mbpp_631__replace_spaces	631	collapse-if	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_631__replace_spaces.ce567c6df9f97112.json
mbpp_631__replace_spaces	631	collapse-if#1	qwen3.8-27b-fp8-v3	pairs/mbpp_631__replace_spaces.df1befe9a7d8d52e.json
mbpp_631__replace_spaces	631	collapse-if	qwen2.5-coder-14b-v3-s5	pairs/mbpp_631__replace_spaces.f3d6174975bd776c.json
mbpp_646__No_of_cubes	646	off-by-one	qwen2.5-coder-14b-v3-s6	pairs/mbpp_646__No_of_cubes.464c4655db3773e1.json
mbpp_646__No_of_cubes	646	off-by-one	qwen2.5-coder-14b-v3-s1	pairs/mbpp_646__No_of_cubes.a63a96fb0fe59b5a.json
mbpp_646__No_of_cubes	646	off-by-one#1	qwen2.5-coder-14b-v3-s6	pairs/mbpp_646__No_of_cubes.c977aaf9f938f2bd.json
mbpp_646__No_of_cubes	646	off-by-one	qwen2.5-coder-14b-v3-s2	pairs/mbpp_646__No_of_cubes.c999cdab5ea053eb.json
mbpp_646__No_of_cubes	646	off-by-one#1	qwen2.5-coder-14b-v3-s1	pairs/mbpp_646__No_of_cubes.e6b1b65dda3f2996.json
mbpp_646__No_of_cubes	646	off-by-one#1	qwen2.5-coder-14b-v3-s2	pairs/mbpp_646__No_of_cubes.f7cab2f0353f7670.json
mbpp_654__rectangle_perimeter	654	off-by-one#1	qwen3.8-27b-fp8	pairs/mbpp_654__rectangle_perimeter.03dad01db0a04d00.json
mbpp_654__rectangle_perimeter	654	off-by-one#1	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_654__rectangle_perimeter.04263c1417dcad46.json
mbpp_654__rectangle_perimeter	654	off-by-one	qwen2.5-coder-14b-v3-s1	pairs/mbpp_654__rectangle_perimeter.1aba247efe212c17.json
mbpp_654__rectangle_perimeter	654	off-by-one	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_654__rectangle_perimeter.4c83b6af67583774.json
mbpp_654__rectangle_perimeter	654	off-by-one	qwen3.8-27b-fp8-v3	pairs/mbpp_654__rectangle_perimeter.5a23b2408bf7e8db.json
mbpp_654__rectangle_perimeter	654	off-by-one	qwen2.5-coder-14b-v3-s5	pairs/mbpp_654__rectangle_perimeter.6bfe27681812253c.json
mbpp_654__rectangle_perimeter	654	off-by-one#1	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_654__rectangle_perimeter.c89b9306e32c998f.json
mbpp_654__rectangle_perimeter	654	off-by-one#1	qwen2.5-coder-14b-v3-s1	pairs/mbpp_654__rectangle_perimeter.e1b8502faf8d9558.json
mbpp_654__rectangle_perimeter	654	off-by-one	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_654__rectangle_perimeter.e96aafd4aea1eb7c.json
mbpp_654__rectangle_perimeter	654	off-by-one	qwen3.8-27b-fp8	pairs/mbpp_654__rectangle_perimeter.f18e75c8559c4244.json
mbpp_654__rectangle_perimeter	654	off-by-one#1	qwen3.8-27b-fp8-v3	pairs/mbpp_654__rectangle_perimeter.f82d352ddad3cd8e.json
mbpp_654__rectangle_perimeter	654	off-by-one#1	qwen2.5-coder-14b-v3-s5	pairs/mbpp_654__rectangle_perimeter.f98f5841b0228295.json
mbpp_676__remove_extra_char	676	collapse-if	deepseek-coder-v2-16b-v4-s2	pairs/mbpp_676__remove_extra_char.9fd753400204017a.json
mbpp_676__remove_extra_char	676	negate-cond	deepseek-coder-v2-16b-v4-s2	pairs/mbpp_676__remove_extra_char.b0f3a118ebca0c7c.json
mbpp_676__remove_extra_char	676	negate-cond	qwen2.5-coder-14b-v3-s5	pairs/mbpp_676__remove_extra_char.c0a36dc94b9860dd.json
mbpp_676__remove_extra_char	676	collapse-if	qwen2.5-coder-14b-v3-s5	pairs/mbpp_676__remove_extra_char.d6cbdae66d8e3d2e.json
mbpp_716__rombus_perimeter	716	off-by-one	qwen3.8-27b-fp8	pairs/mbpp_716__rombus_perimeter.29d2785c458ba2ac.json
mbpp_716__rombus_perimeter	716	off-by-one	qwen2.5-coder-14b-v3-s1	pairs/mbpp_716__rombus_perimeter.9c7d297caf4f4ebb.json
mbpp_716__rombus_perimeter	716	off-by-one#1	qwen3.8-27b-fp8	pairs/mbpp_716__rombus_perimeter.ed535ab039d530e6.json
mbpp_716__rombus_perimeter	716	off-by-one#1	qwen2.5-coder-14b-v3-s1	pairs/mbpp_716__rombus_perimeter.ee0bd81f32ecb770.json
mbpp_728__sum_list	728	compare-flip	qwen2.5-coder-14b-v3-s1	pairs/mbpp_728__sum_list.044abb6fa57a4682.json
mbpp_728__sum_list	728	boundary-swap	qwen2.5-coder-14b-v3-s1	pairs/mbpp_728__sum_list.351343605dbdddd3.json
mbpp_728__sum_list	728	boundary-swap	qwen3.8-27b-fp8-v3	pairs/mbpp_728__sum_list.4fbc514367f64b66.json
mbpp_728__sum_list	728	compare-flip	qwen3.8-27b-fp8-v3	pairs/mbpp_728__sum_list.62f8c12e1c7792dc.json
mbpp_732__replace_specialchar	732	collapse-if	qwen3.8-27b-fp8-v3	pairs/mbpp_732__replace_specialchar.13fd4d7710317cd9.json
mbpp_732__replace_specialchar	732	negate-cond	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_732__replace_specialchar.312ba40158a1252f.json
mbpp_732__replace_specialchar	732	negate-cond	qwen3.8-27b-fp8-v3	pairs/mbpp_732__replace_specialchar.8d60fda11e928ffb.json
mbpp_732__replace_specialchar	732	collapse-if	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_732__replace_specialchar.ee8111da1a924b57.json
mbpp_733__find_first_occurrence	733	collapse-if	qwen3.8-27b-fp8	pairs/mbpp_733__find_first_occurrence.01387f7269c5dcb3.json
mbpp_733__find_first_occurrence	733	collapse-if	qwen2.5-coder-14b-v3-s3	pairs/mbpp_733__find_first_occurrence.3f617888610f2e48.json
mbpp_733__find_first_occurrence	733	negate-cond	qwen2.5-coder-14b-v3-s1	pairs/mbpp_733__find_first_occurrence.42e8cb16bda32e69.json
mbpp_733__find_first_occurrence	733	negate-cond	qwen2.5-coder-14b-v3-s7	pairs/mbpp_733__find_first_occurrence.4b82f0df75e3cb37.json
mbpp_733__find_first_occurrence	733	collapse-if	qwen2.5-coder-14b-v3-s1	pairs/mbpp_733__find_first_occurrence.8696dd07c470aefc.json
mbpp_733__find_first_occurrence	733	negate-cond	qwen3.8-27b-fp8	pairs/mbpp_733__find_first_occurrence.9d922a1e7e383d77.json
mbpp_733__find_first_occurrence	733	collapse-if	qwen2.5-coder-14b-v3-s7	pairs/mbpp_733__find_first_occurrence.e29a74138d346a5f.json
mbpp_733__find_first_occurrence	733	negate-cond	qwen2.5-coder-14b-v3-s3	pairs/mbpp_733__find_first_occurrence.e631ed579658f959.json
mbpp_789__perimeter_polygon	789	wrong-var#1	qwen3.8-27b-fp8	pairs/mbpp_789__perimeter_polygon.0fe30e8da56dda84.json
mbpp_789__perimeter_polygon	789	wrong-var#1	qwen2.5-coder-14b-v3-s4	pairs/mbpp_789__perimeter_polygon.1129a3a80c8a584d.json
mbpp_789__perimeter_polygon	789	wrong-var#1	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_789__perimeter_polygon.1f1976e0ef8c8f2b.json
mbpp_789__perimeter_polygon	789	wrong-var	qwen2.5-coder-14b-v3-s1	pairs/mbpp_789__perimeter_polygon.574dac873b38b5d0.json
mbpp_789__perimeter_polygon	789	wrong-var	qwen2.5-coder-14b-v3-s4	pairs/mbpp_789__perimeter_polygon.6f6dba9e88d3a548.json
mbpp_789__perimeter_polygon	789	wrong-var	qwen2.5-coder-14b-v3-s6	pairs/mbpp_789__perimeter_polygon.6fcc9435939798c2.json
mbpp_789__perimeter_polygon	789	wrong-var	qwen3.8-27b-fp8	pairs/mbpp_789__perimeter_polygon.ae215878a64cbbc8.json
mbpp_789__perimeter_polygon	789	wrong-var	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_789__perimeter_polygon.d04660c79f7f63ae.json
mbpp_789__perimeter_polygon	789	wrong-var#1	qwen2.5-coder-14b-v3-s6	pairs/mbpp_789__perimeter_polygon.e6a2c72857ffdcb5.json
mbpp_789__perimeter_polygon	789	wrong-var	qwen2.5-coder-14b-v3-s2	pairs/mbpp_789__perimeter_polygon.e874107ec24ccb6d.json
