# tup inventory — 20260831T125822Z
# root: /mnt/lfs
# excluded (not examined): proc sys dev run tmp sources tup-build
# format: <sha256 | symlink target>  <mode> <size> <path relative to root>
#
-> usr/bin                                                    lnk        - /bin
b9586425ea231b004bfa6472bc90f8f287ba553a6f48d0c257b33064b97df3e6 644     3488 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Option/List.lean
5bf7ce8f1c5d8de2488a851d42b28866c7feefe11f0aba451f53fa37eeb7bd2f 644     7726 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Option/Monadic.lean
0ddd9152f81b3041def9665c72d42cff57cfbf627fd06623b638f3585ae7a0cf 644      406 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Ord.lean
77613bdb661798cbad217cd483d9f9ce172f0855b352ca4c1244dfc0edaddda7 644     2744 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Ord/Array.lean
88008e69462e197ac4183f462a4d8046c97e45c3ac9172cf3b4c250f84cae1a3 644    26346 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Ord/Basic.lean
9e3e8c70877aae9c83e4ddf50926661c5eec377803d4a9a6bce870ab2d926118 644      735 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Ord/BitVec.lean
8130f9cdfc6c5515fff08b52a78c0efa268d59851775c0810e2268eb80a013ef 644     3581 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Ord/SInt.lean
d3ae906ac3a1dd2d15d4720bd2900246c5461ccfe71f25ac91e3d86fba5d9b55 644     1299 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Ord/String.lean
3dfef9b3dd420463b6c4b81c6fd41347e535a21d760754c16354250d957da848 644     3631 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Ord/UInt.lean
0dc9901738545d70fa21a0f956ee4bb63ece5bc539520e7f63584a753ce54a18 644     2806 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Ord/Vector.lean
3b14a15ad36cbd94904cca4a48a18726fdec67df2661220fafec4a84ead25ae7 644      572 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Order.lean
9ac5d18a28594020211f78e2e12dd80a0ac6bde4cd654d35b9436f727eaff8c3 644     7482 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Order/Classes.lean
ae136aa2755f7ace8978dc2f0a8d3ccad2b53723c5d98c08bcc587db889bb3a7 644     1444 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Order/ClassesExtra.lean
c639af400df5248abbb88a0c97fd09cb534d784918cccee7f520f09ca5dec8b7 644    11427 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Order/Factories.lean
6e08ca9e5d4f166024c533d702bd86db1c6c137b63bed7efb19c7639fc7bed8c 644     5381 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Order/FactoriesExtra.lean
4c42faa9c133e6e77bc1b972c28d67b9c676d90a32a5c63ea95612c5aa4581c1 644    22430 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Order/Lemmas.lean
91fbd3c715a489af06f4624e8378f7503ef9aed1cbdf494b0cc10f7ad9b4cc8e 644     7809 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Order/LemmasExtra.lean
5b5ac04cc20b1b53b920704d763459685fe1eb0e622f3717036eb845100f8a5d 644     8556 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Order/MinMaxOn.lean
43d669a641ac2158fab6fd667a1877872ec24ba852d41b0c976fce9c4b7d4551 644    13679 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Order/Opposite.lean
af2da20f300be76beea5703681675617d2072a0df0d7c025df86aa3fde24d972 644    29750 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Order/Ord.lean
a955d22de4f4f8bb48e84dc7b698dea71b3557f65fa4c0c624c7fa7dea688fc0 644    33366 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Order/PackageFactories.lean
98c8b7e3e6cdad2e3bc9a66ba8967f6291fb470f87aeb299a89f7236dab80e3e 644      379 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/PLift.lean
66e190929f976c08354efa2b611d9e2dcb8db2fefd2d60c3f7db49c8de9544ba 644     2787 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Prod.lean
ef3bb25d6b151ae4b623980a77c7f1f80ecde26970437f294f15de8281043e78 644     2529 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Queue.lean
8567fe0ea5f15f70159d8eec4b8a46cf0a0ab28f81247e99010a4c23bfc81350 644     2217 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/RArray.lean
10bc81cac764ae9d426e141954af5a3ba21f89acd9130b437db39e01059a6ec2 644     4680 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Random.lean
f2be520b67c3963bdd38ece39375986a7a122292688761056621720c6e04f7dd 644      240 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Range.lean
38d79176c6dea6023a11c470146f7a185a1c544b5255c3861f4104eaa78a85e7 644     3343 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Range/Basic.lean
769dc70ccc7012f99400748758bccfb4c106150f7a2fafe06809549478c0010b 644     4100 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Range/Lemmas.lean
b83c2751f135f1a663936599fbf820b1e67c8df2cb02456c866370b33e6fedd7 644     1665 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Range/Polymorphic.lean
5848124d145a7878c8ba02a7d0d4fea807e01101775505b2ce4264c72002bab4 644    14051 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Range/Polymorphic/Basic.lean
47332ff3345067b8190198afd910dca1d89ea8fa64e126fd9a1e211fb2ea496f 644     4273 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Range/Polymorphic/BitVec.lean
9ac365898cd186f08916b9395fd8ce6b740e55157125de2f8f7591f7dcfa68ec 644     2283 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Range/Polymorphic/Char.lean
eb060cd93542b6dd5f44be5b7b70535e6a7a39080fee80feda9615b5fff80c37 644     2780 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Range/Polymorphic/Fin.lean
d9fc31539da2f4945b5268c7734cb39a90a0edfbeec126d8e66bbd7636e1ef69 644     2068 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Range/Polymorphic/GetElemTactic.lean
9f5816121c2d820da2c5e0efe3a09abf407186b1a3ea2012fe89e2812e901529 644     6436 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Range/Polymorphic/Instances.lean
6d4145aaac6ceae09da06647d5e909a885ea8f053becdb53421e2fac759f6adc 644     1725 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Range/Polymorphic/Int.lean
f8d570f4b72c907188b6898fda9914e345bf89309fc047f17470d34eaa445683 644    61728 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Range/Polymorphic/IntLemmas.lean
875060a8cfe504a7e93f24e1efd482adbfc48335c1b4918b6c732014448e7890 644    14182 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Range/Polymorphic/Internal/SignedBitVec.lean
a999f78031466141ae6e19b3a7abff86e788e4a9e25fd962a1e05985a1ccf267 644    25841 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Range/Polymorphic/Iterators.lean
69454bcb5d2eecfd1d211d3033942ffbc895954a52df62224e1b0927d57a87b8 644   186861 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Range/Polymorphic/Lemmas.lean
48cd12a1cd9acf1853822deec35060dab8f8ac5fccf130f4ad70b9694f954484 644     8772 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Range/Polymorphic/Map.lean
7449225ce0254c2b6b09d5518bec2368793746c10a234d340dff61e5f6ec56f9 644     4807 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Range/Polymorphic/Nat.lean
4819850631f8131c4bdcc69dae1305766812ed57c203f490a72c3eb93daf3f02 644    85869 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Range/Polymorphic/NatLemmas.lean
8b02fdaf74aa8f9400d7d544c749c6b8ea83910f2c24ae185028b43c8550b4db 644    17037 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Range/Polymorphic/PRange.lean
7331302fd9408c1f79937bf6f445dd4ce6139d7ba866be28f21f747459c0c17a 644    70353 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Range/Polymorphic/RangeIterator.lean
903a797f6283c42e3957c5681fdf9d46c2b805171152016d29c9dcaea7dc1788 644    28966 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Range/Polymorphic/SInt.lean
5f8c7915dc1f36f3b7e1e1b6732048ed6e10b6b6c90de6f1bc4aa8ae2eae6778 644     1570 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Range/Polymorphic/Stream.lean
33f3331161c10358e70a40097d98156edba73e092969564755beb121c90a3620 644    18847 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Range/Polymorphic/UInt.lean
d6a2466c5666c0151982daf2f27863e683efc58129dc6d0772a7fcf1585e2178 644    25355 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Range/Polymorphic/UpwardEnumerable.lean
978b221d9e74d93a097e15555697df2547b30c57c785f46bf59e3451d98df36c 644      236 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Rat.lean
30b77ea0918aa986f6617bef4ad99a8d79cd538a714c9f05134bcb6a5e490cc8 644    13454 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Rat/Basic.lean
ce12cfc6648530087a7b13d59729c73bd605e71d6db0ba7a189287e5ffc4af6c 644    55433 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Rat/Lemmas.lean
8523393e5c0a9bdce3b06d52a9600c6f2492560f4a68aea2e0548671479babcb 644    13360 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Repr.lean
0b8e97503a957baec4efb3d31ea281b6de7f150e539b087feb95896be07f9a73 644      508 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/SInt.lean
4868b10bbef3740a4ddcaa5c8b7ccf18fd099bef301ddbc5ac8b1b8ce4e7b225 644    75121 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/SInt/Basic.lean
a15c2a6f2840db2e81120b16fd32626d319c1dabf5ad7fc7eff62ef94d694430 644    58409 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/SInt/Bitwise.lean
a7ffab5860959a0b63f0c93a9f689ec496fcb9d39b1fe850f5367b3dec3c2f80 644     4360 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/SInt/Float.lean
643b8ef3d9a99c4b02193cf765040133950e7d9a606049c6bbe25f8c739c43cb 644     4703 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/SInt/Float32.lean
5ab6e7557213bf2af781d33487ea39099819e2089633ebb07ecb36fabd1216fb 644    18440 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/SInt/IntToBitVec.lean
d14a6751184bcd1f64e652e1fcdd3454c5126490e16306017dce12f6662a230a 644   259631 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/SInt/Lemmas.lean
90a445003bf5be6760898864911f1715e09630868763ead8a539e1ad323ad093 644      987 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Slice.lean
53fe77edef0c9c7926af82cc4c13613b415460bdcfa03c3d0e740c625b962bd8 644      298 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Slice/Array.lean
8f8b873b92e60be4cd99ff4e1844d84f9c0f99cecf8dc2749a64672c6f259d2e 644     3863 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Slice/Array/Basic.lean
737654439d9df52172c896321170161003fcaff2ddf78aa7dba0165781c0d3d5 644     4084 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Slice/Array/Iterator.lean
5aa76273a3a165c3c2f2b297d779894bcf147d154ab06d086b02b02544b03a00 644    34548 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Slice/Array/Lemmas.lean
2584d778430d08315d7590290aebabc7ab6415c59126dcb8615e3544b85d6093 644     1188 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Slice/Basic.lean
680c306f305600e6e44b4c088738cf1fd2701c838f6bbaf66de3e0200665a21d 644     2429 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Slice/InternalLemmas.lean
cb9830b9abc0fb62e3200a4e343f35341436ace56a46b978af090f9b43e8b5ad 644     4693 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Slice/Lemmas.lean
ab212dc3935645f895dedc6f9873111c1fec7be2a3480d15e207b5ff43470642 644      295 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Slice/List.lean
3466e76261b3b71cd200f6d4518a0c6af95743d1fa7da3503fc913027ec45220 644     5670 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Slice/List/Basic.lean
4393afea9c3d45181cc35c97013b3fda86651bae5f9dabdf7e34a776c4610d3d 644     1677 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Slice/List/Iterator.lean
3bb7dd4b6993f4b67912144d6f9252d7fadb8689073720474c80dc424005b4b0 644    18535 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Slice/List/Lemmas.lean
856e913a51635aa2e905e59c673b384b9c61d9033007cb9e60baebbd9b960a2d 644     5023 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Slice/Notation.lean
b6627336544c7590fdd53027e40c3565eb21f181bf89757fbddefab60762ecf5 644     4482 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Slice/Operations.lean
95147844e8a36949bbfa534c6b815379dca5e4780e5e202bf9a4f143bc5b967a 644     3808 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/Stream.lean
5372232bbf9f3e51e58cf4f5fcd428b38ad2c61ce466e580ecf664cfd98e1e23 644     1195 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String.lean
e42f494b424f6cb5257b921f94709578f5a9581c9eecdc9c42f5036c4da3e0b5 644   131095 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Basic.lean
23f245ddbf06875c7774527a1fd834bef96cd1ac95a63da57850b022093fc177 644     6950 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Bootstrap.lean
5918a53dda9e731ca6508c9ffff485cee4a665256b83354bb799a2f15dcf0085 644    75628 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Decode.lean
d5f604f68e1c80928fd146c598ba77ee74b70f84793f7af8ae264c5c43d06a97 644    23361 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Defs.lean
bc3013e310fe4f3481fc5c07f2a9367253e4d2ada2a8299636fcc4400c77eed3 644     4708 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Extra.lean
167bca5327ddc22b94140cda1d755947941291f161c0d33500ea8a9a97a5e393 644     5280 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/FindPos.lean
7e50bfa6ebbe2b14f27206c42498d39635a58f205f6e292f0bee648ff7418ff4 644      419 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Hashable.lean
360fefcd64f1a7ed0c730feb22b6448cda7058e5000d362e6bdc1e0dd478ae90 644      258 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Iter.lean
12fccaf9e2db9037fe7c01c7afd418302b8c3f249c89aade11bcd9278d6abfbd 644      948 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Iter/Basic.lean
e50a720ca2f7f89d9f7cb3124c38aec85790805a1305e0ae115e8abda935c5d3 644     1001 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Iter/Intercalate.lean
a31a38318e1bda9493819d72bc48294414ad37c6269a676120b66524088130ba 644    17208 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Iterate.lean
9470d2b5756b418930d1a91eb3ea7f01656f511b6c89eb8aefd27a2fa937d77f 644    11376 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Iterator.lean
7383f79fa34db227a5fc0c43997ef4ff47946794e77599243267f8ca743b556a 644     4157 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Legacy.lean
40cbf42c1053f31cc2c61abfe4f7850b5daa5ba984092532dd68e9a534f9afed 644      926 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas.lean
d042c18a2124fc279fe6ca16c632111a578527ca135dcb2f3c6ea4619d87d7c3 644    12923 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Basic.lean
ef61f5218dcacdf02c23e51070cff9c62615abe58cea710513a16bcd7c179461 644    22978 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/FindPos.lean
176f1c39a8e2b83eaa29efa17fbf8ff642a93657caf8e2b90e7374e019dd9d0e 644      640 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Hashable.lean
037e691c18ad6152988c21c87757496dc92c26324ea872caf36ee73ea5b09d44 644     3394 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Intercalate.lean
9dfd1d7ba593807f7943fc56bfc4661435c8ac5c99f2addb99b53187939513f2 644     6746 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/IsEmpty.lean
fe107febbbe65b2ff36668f58fc123804ce38502b8612ea23a97823f50d455b9 644     1962 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Iter.lean
661a3d0c24a56a38db7a777615338cdda499d52192a2acbd789a0234b53e59f0 644    16276 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Iterate.lean
5bef4316feda66bb67df89965262d0bbd43fcd53e3cdaa8be80d7977d5d5762b 644      798 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Length.lean
851828ca8f5407b670c8947018866ebda004fa32901d870d031f53c56a4a6eb6 644     2497 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Modify.lean
1fa61c78271b185c94bbf16d0b88f69941913ef36eccf03370c2bed124630032 644    33083 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Order.lean
7d1547e43f92773fddcf3e5168f19c16af2d9a6ea41ca5b3f640c88d156cd639 644      586 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Pattern.lean
d1460cfb5fca52390fcfc4c1d72e3aa13bf2e48d9d63dccef31e6f2130467bc7 644    56846 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Pattern/Basic.lean
d781a0d6b29801d558d2a243edf726a7acb661cf10c01ad0c929e9b4e5fcd1e8 644    19171 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Pattern/Char.lean
4ee04f7180f50947c42d1efa954cfd9048bb3a83b23b3da3b7bd16220d31ea47 644      395 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Pattern/Find.lean
4d09c1d77fc3d81a51494f66c8c77132e6bca4a0df16301fe264895991e2fe33 644     7351 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Pattern/Find/Basic.lean
be70f777de183baab7c19c754af68ef9ce515181dcfabcb6a4d39f0bf8684cd1 644     9577 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Pattern/Find/Char.lean
6dc40f0c9168dc5ec2f545a303d0e6385944f80adc26b105275db510a0b7d7eb 644    15721 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Pattern/Find/Pred.lean
3c9c2fe02778f0b4638cb023ceead7f51818407c9c685f68014db0faadb952a8 644     3763 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Pattern/Find/String.lean
93176f08e3ffb73a217022b0d418eeb2e0256804c078175acd58dc1c20e5bcb4 644     3077 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Pattern/Memcmp.lean
67de0a737c7e94c38f73728ec4ffc609a601f6633723d23e028f8a66af190ca7 644    27384 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Pattern/Pred.lean
53e207d07e134e6c433c11423368508510fdba1ae51b35af8ff4502666356800 644      339 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Pattern/Split.lean
8b6b2bd6c9eeeacc15b3291061c6294f8c12221390601456a978d680defc0ae8 644     9784 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Pattern/Split/Basic.lean
6d9fd9adc71c912639352c148051b713eb02d3008132aebcd78e4ab8d92ca1e6 644     3776 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Pattern/Split/Char.lean
7c05cfcf6c8f95abd92502fe8ea3c71dfcfba7163ebdfa19571f42c08fed1ffe 644     5252 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Pattern/Split/Pred.lean
d9cf74ef9f8febc54c54913c9f8863f1fca74b96398ee68923b3db7aa34587d5 644      363 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Pattern/String.lean
35b663c5ac95b969209cc6fc90774cb1247ad7cf0e170b6b90305e565180e0a5 644    29266 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Pattern/String/Basic.lean
28909e3cbd2c790235b48825c20c209804307f80b1cec67fb76c9dd272c98b6f 644    12384 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Pattern/String/ForwardPattern.lean
979ff9cc471ad60cf6935bb105198b2db7a9aff98ce23f45762a7ee2e5f0bd11 644    30890 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Pattern/String/ForwardSearcher.lean
696ebf62b33cc514a0b01553a11144c2de2d41c8d03cb39d899198967863031d 644      411 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Pattern/TakeDrop.lean
06464eda59bdbae10155ecaa661232923f5e06c847d52a6c013adadee8f09ac4 644    66415 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Pattern/TakeDrop/Basic.lean
99d157bcda118da03216c9f049163e2a1fd720b4cb492e00771040a31c51b2d6 644    11379 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Pattern/TakeDrop/Char.lean
a005dceef6f3f0f563f6d45441948bfa0472e04f50bbad02968f2e39705e5d8c 644    29548 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Pattern/TakeDrop/Pred.lean
14fd870a1fd63752c28aa8bda429acf65466dc98070f773314006c8f412a91be 644    10063 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Pattern/TakeDrop/String.lean
423c959c3afa1c023b5bcb49d31ed5e58f8063e513870156515d54b2f9364644 644     2109 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Search.lean
876cf245ef367059ed52064633bac12b0a8e03765cf5fb3bcdc052f5a791c93a 644     4163 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Slice.lean
1539e2c10f58fdc69b0c648534f98ba64482509d1d9cbb4de8d327654c6eb199 644    41703 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/Splits.lean
6fd9264f8856dcc852ecbc69bc77f118e3af5ea7031e20283208cf420dc8e50a 644     1918 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/StringOrder.lean
6a32e5e38c1c7232df2b043e3580e7f275cbadb87b53a141de97c932c35004be 644     2608 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Lemmas/TakeDrop.lean
20966f34a8df5ac810d2e1dd8fa38fd7583cd4925f3dafa2606c845854d9bab3 644     1942 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Length.lean
67517ac9e70d229f142794c993be089d483f82422b1bc4f7b6f20518144294d1 644     9978 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Modify.lean
8c1d4c9b2c93b8cb940a2a133ac2f5f3386835a3c7639a1982a2e74ddf941242 644     4083 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/OrderInstances.lean
3e939d30274cbaf1bc8e13661403bbe7746992e5b7e36bdbf3e35dd8c4f68b58 644      348 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Pattern.lean
e9eb9acac828fc9afbd309468f5ac17a56f554669a702d0812243eb42eb8d480 644    20793 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Pattern/Basic.lean
0e75ae85634186de7b5648cd5fcecee488d5215d942909dd9ea1abf745d5d008 644     1981 /opt/lean-4.33.1/lean-4.33.1-linux_aarch64/src/lean/Init/Data/String/Pattern/Char.lean
